workload,N,rep,first_query_us,avg_us,majflt,minflt
C,52,3,452.97,1.59,25,27
C,53,1,390.18,1.55,25,27
C,53,2,373.99,1.54,25,27
C,53,3,407.27,1.53,25,27
C,54,1,449.39,1.54,25,27
C,54,2,394.16,1.55,25,27
C,54,3,461.86,1.53,25,27
C,55,1,412.48,1.53,25,27
C,55,2,442.23,1.53,25,27
C,55,3,399.46,1.54,25,27
C,56,1,408.88,1.54,25,27
C,56,2,444.90,1.54,25,27
C,56,3,390.16,1.53,25,27
C,57,1,462.57,1.53,25,27
C,57,2,414.19,1.52,25,27
C,57,3,469.87,1.53,25,27
C,58,1,422.88,1.55,25,27
C,58,2,388.47,1.53,25,27
C,58,3,427.58,1.60,25,27
C,59,1,398.20,1.57,25,27
C,59,2,377.83,1.56,25,27
C,59,3,378.99,1.52,25,27
C,60,1,400.77,1.53,25,27
C,60,2,383.19,1.52,25,27
C,60,3,390.79,1.54,25,27
C,61,1,422.88,1.54,25,27
C,61,2,385.81,1.56,25,27
C,61,3,392.62,1.54,25,27
C,62,1,378.44,1.56,25,27
C,62,2,424.22,1.56,25,27
C,62,3,407.30,1.56,25,27
C,63,1,369.27,1.54,25,27
C,63,2,449.14,1.59,25,28
C,63,3,510.53,1.58,25,27
C,64,1,389.63,1.55,25,28
C,64,2,389.56,1.55,25,28
C,64,3,400.49,1.55,25,27
C,65,1,438.81,1.57,25,27
C,65,2,388.47,1.54,25,27
C,65,3,417.79,1.53,25,27
C,66,1,381.20,1.54,25,27
C,66,2,389.31,1.56,25,28
C,66,3,431.91,1.55,25,27
C,67,1,429.36,1.57,25,27
C,67,2,379.90,1.55,25,27
C,67,3,423.25,1.56,25,28
C,68,1,418.87,1.55,25,27
C,68,2,419.24,1.53,25,27
C,68,3,429.55,1.56,25,27
